,Plant Code,Stack Height (m),Annual Plant Generation (MWh),Annual Plant SO2 Emissions (M.Tonnes),Annual Plant NOx Emissions (M.Tonnes),Marginal SO2 Emissions (M.Tonnes per MWh),Marginal NOx Emissions (M.Tonnes per MWh),Marginal Emissions Damages SO2; Annual ($ per M.Tonne),Marginal Emissions Damages NOx; Annual ($ per M.Tonne),Marginal Emissions Damages SO2; Spring ($ per M.Tonne),Marginal Emissions Damages NOx; Spring ($ per M.Tonne),Marginal Emissions Damages SO2; Summer ($ per M.Tonne),Marginal Emissions Damages NOx; Summer ($ per M.Tonne),Marginal Emissions Damages SO2; Fall ($ per M.Tonne),Marginal Emissions Damages NOx; Fall ($ per M.Tonne),Marginal Emissions Damages SO2; Winter ($ per M.Tonne),Marginal Emissions Damages NOx; Winter ($ per M.Tonne),Marginal Health Cost; Annual ($ per MWh),Marginal Health Cost; Spring ($ per MWh),Marginal Health Cost; Summer ($ per MWh),Marginal Health Cost; Fall ($ per MWh),Marginal Health Cost; Winter ($ per MWh)
640,3143,,216.0,0.786369,1.417641,0.003640597222222222,0.006563152777777777,41555.175682919995,22497.58725672,48642.12160163999,23856.22626084,58744.96394808,11862.749693352,29428.47006276,23091.846501719996,29382.80886468,30779.315257799997,298.94075945743475,333.6584304370533,291.7237911709303,258.6925228765155,308.98032076616846
641,3144,,48.0,0.257588,0.466198,0.005366416666666666,0.009712458333333333,42934.051226519994,21294.65369004,48724.94697768,21948.423806879997,63544.23757283999,11030.43137064,31517.66284188,25572.30931728,27913.172676359998,26521.48789128001,437.2254447567937,474.6515192501349,448.1374606675486,417.5068999002393,407.38256115202444
642,3146,,54.0,0.271193,0.48615200000000003,0.005022092592592593,0.009002814814814816,45207.519515280015,23778.000535199997,52260.315894479994,24251.31639564,68425.58228676,13040.27491056,33221.796187080006,31322.89948428,26900.392032120002,26414.89895064,441.105284372146,480.7862558656461,461.0387901002199,448.83720006378667,372.90470316700475
643,3147,,0.0,,,,,41505.76032396001,15189.46994196,45363.60947028,12920.74494444,61362.69392856001,7221.655725875999,27963.5509242,13427.9558406,31251.153052319998,27069.54964128,,,,,
644,3148,182.0,422145.999,22.144405,203.782946,5.245674494714327e-05,0.0004827309662598508,47137.993962479995,36069.786951719994,60150.2378766,41916.934790399995,71865.71025588,18905.00379672,35289.34470216,54446.729956560004,21233.20321404,28536.34836276,19.88470883460054,23.38988812082375,12.89587198327479,28.134286716012404,14.889203744092605
645,3149,198.0,1055951.0,1873.21803,547.331871,0.0017739630247994463,0.0005183307473547542,43147.06371383998,18651.530448720005,49193.10230483998,19317.97018224,63884.24042376,9814.58633556,29685.046509599997,17556.540506639998,29752.23350964,27817.53209952,86.208957373813,97.27984248589986,118.41548224943692,61.760269659252984,67.19804435400948
646,3154,,84.0,0.39998700000000004,0.7092740000000001,0.00476175,0.008443738095238096,41555.175682919995,22497.58725672,48642.12160163999,23856.22626084,58744.96394808,11862.749693352,29428.47006276,23091.846501719996,29382.80886468,30779.315257799997,387.8390923786541,433.05734902388343,379.8947835798003,335.1125213173111,399.806066899019
647,3155,,55.0,0.24216900000000002,0.431732,0.004403072727272727,0.007849672727272727,41508.19038516,17249.05748388,47409.48050712,16574.78825088,59004.284636039985,7742.4860619,28883.76367584,15350.672003159998,30667.142417519997,29184.029843639997,318.1630371457144,338.85405392832126,320.5761381545705,247.6750634705958,364.11474153750515
648,3157,,218.001,1.19724,2.084286,0.005491901413296269,0.00956090109678396,45559.684641119995,31366.55738412,60746.822775119996,39673.73707812,63417.95807279999,15627.220815239998,33758.86770132,38712.95882952,24294.071795519998,30830.72438652,550.1018493660691,712.9322381956554,497.69548620048704,555.5311437730711,428.19015383026033
649,3160,,232.001,1.649833,2.895144,0.007111318485696183,0.012479015176658722,44027.4103692,32016.722552159998,57366.61730736001,37634.3373288,62398.73740836,14242.976921039999,33973.948820519996,44892.885965880014,22344.11556288,30576.31809072,712.6301038710999,877.5917528092768,621.4756199746305,801.8185755716859,540.4584595492798
650,3161,75.0,13321.0,0.278449,5.592562000000001,2.0903010284513173e-05,0.00041983049320621583,45559.684641119995,31366.55738412,60746.822775119996,39673.73707812,63417.95807279999,15627.220815239998,33758.86770132,38712.95882952,24294.071795519998,30830.72438652,14.120971813368678,17.926036066060682,7.886410052123214,16.958542557623524,13.451497457692053
651,3162,,657.0,2.992193,5.243367,0.004554327245053272,0.007980771689497717,50343.90729852,37643.080662,71344.28079108,46938.90158028,69179.96508312001,16949.47204944,37101.14382564,55337.41648356,23718.761211,30697.36989624,529.7034610848546,699.5338586535647,450.33806647399115,610.6060369896923,353.01170101212176
652,3163,,597.0,3.033008,5.2977870000000005,0.00508041541038526,0.008874015075376886,42937.936406519984,28606.93395288,53321.86678896001,31640.176390560002,62038.825731599994,13651.25738904,32326.80557412,38344.347751199995,24052.24280916,30269.522042159995,472.0009169679945,551.6726360225557,436.32447015721726,504.50192120692986,390.80757994856526
653,3168,,898.0,1.041236,3.0411710000000003,0.0011595055679287306,0.0033866046770601337,44027.4103692,32016.722552159998,57366.61730736001,37634.3373288,62398.73740836,14242.976921039999,33973.948820519996,44892.885965880014,22344.11556288,30576.31809072,159.47800980385225,193.96953499689346,120.58701571276978,191.42744040069516,129.4580282589131
